id,site_code,year,month,day,gpp,npp,nep,ra,rh,cf,cw,cr,cveg,csom,af,aw,ar,tveg,tsoil,swc,create_time
184556,DHF,2023,6,1,1.0484835701429034,0.433016254410078,0.24084263015377466,0.6154673157328254,0.19217362425630335,277.89448932523504,8823.730015860072,322.02156796486474,9423.646073150172,7946.74755421137,0.2165053898570546,0.10825810622507517,0.10825275832794826,155.6999855326078,209.5269968011896,,26/7/2023 00:41:19
184557,DHF,2023,6,2,0.9134259781083863,0.3772384298472573,0.19682684382602558,0.536187548261129,0.18041158602123172,278.00948777807383,8823.829450236282,322.0743311537555,9423.913269168112,7946.756901457861,0.18861683017976488,0.09431312934481491,0.09430847032267752,155.65634127211067,223.1828033913708,,26/7/2023 00:41:19
184558,DHF,2023,6,3,0.9840849732309133,0.4064200920874833,0.2150998300663081,0.57766488114343,0.19132026202117522,278.0965556655779,8823.914939536176,322.11314096268285,9424.124636164437,7946.766212286135,0.203207476825592,0.10160881734371123,0.10160379791818007,155.62363929964377,210.45464723869264,,26/7/2023 00:41:19
184559,DHF,2023,6,4,0.9943558299018428,0.4106618828144687,0.23558725168151184,0.5836939470873741,0.17507463113295685,278.19818239630996,8824.007724438581,322.1592394116425,9424.365146246535,7946.775549435469,0.20532834537425465,0.10266930462664733,0.10266423281356671,155.58526347866126,229.97884476838783,,26/7/2023 00:41:19
184560,DHF,2023,6,5,0.8973570692473836,0.37060208481945683,0.18853560537804837,0.5267549844279268,0.18206647944140847,278.3018928742423,8824.101569735483,322.20639035198275,9424.609852961708,7946.784838866718,0.1852986996180674,0.09265398113121114,0.09264940407017831,155.5460936665129,221.14483608102853,,26/7/2023 00:41:19
184561,DHF,2023,6,6,0.9835760380678051,0.40620990548624103,0.21926017800328973,0.5773661325815641,0.1869497274829513,278.38553582393655,8824.185399615046,322.2435183387034,9424.814453777686,7946.794144594367,0.2031023848536829,0.10155626873110686,0.10155125190145127,155.51477595472346,215.36539207936943,,26/7/2023 00:41:19
184562,DHF,2023,6,7,0.9094224405016005,0.3755849973012002,0.18754246487886914,0.5338374432004003,0.18804253242233107,278.4869519064807,8824.278131698378,322.2895417754975,9425.054625380357,7946.8034599933435,0.18779012435904663,0.09389975577192003,0.09389511717023355,155.47653797311673,214.11022462016297,,26/7/2023 00:41:19
184563,DHF,2023,6,8,0.774311237535154,0.3197850318049393,0.14410866519628068,0.4545262057302147,0.1756763666086586,278.5730186841256,8824.363207176018,322.3279011469715,9425.264127007114,7946.8127743881105,0.15989049435500255,0.07994924345159284,0.0799452939983439,155.44430389959564,229.17785103397472,,26/7/2023 00:41:19
184564,DHF,2023,6,9,0.8465977026617432,0.34963882757724146,0.16195067852140368,0.4969588750845017,0.18768814905583778,278.6311543940255,8824.434332056262,322.35230408532806,9425.417790535615,7946.822052804636,0.1748172035179202,0.08741297110852016,0.0874086529508011,155.4229696836255,214.50860315161628,,26/7/2023 00:41:19
184565,DHF,2023,6,10,0.9051908363923821,0.37383737491235314,0.18604272489659268,0.5313534614800289,0.18779465001576046,278.7041955777703,8824.512920593039,322.3841661776127,9425.601282348422,7946.831359825458,0.1869163242123623,0.09346283385897501,0.09345821684101584,155.3958333950091,214.38329475303982,,26/7/2023 00:41:19
184566,DHF,2023,6,11,0.8638148991477265,0.3567494072239846,0.18176400081232488,0.5070654919237418,0.17498540641165974,278.7893092023468,8824.597558913976,322.42207234342936,9425.808940459752,7946.840663156369,0.17837244839117586,0.08919068240429513,0.08918627642851364,155.36400487645338,230.07259930212453,,26/7/2023 00:41:19
184567,DHF,2023,6,12,0.9099258813179341,0.37579291477631727,0.219136329866435,0.5341329665416168,0.15665658490988227,278.86584786152076,8824.677924998821,322.4557000369827,9425.999472897325,7946.849930137268,0.1878940817822378,0.09395173708180854,0.09394709591227093,155.33552787807264,256.98859843715564,,26/7/2023 00:41:19
184568,DHF,2023,6,13,0.9624157786024863,0.3974708688842952,0.234236634592139,0.564944909718191,0.16323423429215622,278.95188019669496,8824.763052057979,322.49408275541964,9426.209015010094,7946.859148848653,0.19873292179725083,0.09937142799332183,0.09936651909372257,155.30336720730716,246.6332524839507,,26/7/2023 00:41:19
184569,DHF,2023,6,14,1.0163311019002048,0.41973751379367075,0.24527750372074159,0.5965935881065341,0.17446001007292916,279.048719946724,8824.85359872292,322.53787828306946,9426.440196952715,7946.868384128572,0.20986610349150536,0.10493829710117836,0.10493311320098703,155.2670168368656,230.76275576163877,,26/7/2023 00:41:19
184570,DHF,2023,6,15,0.9228462637060426,0.3811289407728737,0.19516194281061083,0.541717322933169,0.18596699796226285,279.15665750564654,8824.949712166423,322.5872328581427,9426.693602530211,7946.877646890501,0.1905620610483873,0.09528579339787446,0.09528108632661192,155.22637022232914,216.4819398514083,,26/7/2023 00:41:19
184571,DHF,2023,6,16,0.8669249972366146,0.3580338556060558,0.1725286446465686,0.5088911416305589,0.18550521095948716,279.2452515956119,8825.036173010107,322.62692690174316,9426.908351507462,7946.886936324127,0.17901466446246503,0.08951180649137198,0.08950738465221876,155.1932606525982,217.01738117258517,,26/7/2023 00:41:19
184572,DHF,2023,6,17,0.8848335681781371,0.3654299679837427,0.17685483614377265,0.5194036001943944,0.18857513183997007,279.32226592809513,8825.116859780424,322.66084040373795,9427.099966112257,7946.896220945261,0.18271267389617382,0.09136090363560516,0.09135639045196374,155.16466260210066,213.48109351316833,,26/7/2023 00:41:19
